Descript,predCategory
HABITUAL TRUANT,OTHER OFFENSES
GRAND THEFT COIN OPERATED MACHINE,LARCENY/THEFT
ACCIDENTAL BURNS,NON-CRIMINAL
"TELEPHONE OR TELEGRAPH MESSAGE, SENDING FALSE",OTHER OFFENSES
"BURGLARY OF WAREHOUSE, ATTEMPTED FORCIBLE ENTRY",BURGLARY
OTHER OFFENSES AGAINST PUBLIC JUSTICE,OTHER OFFENSES
"FORGERY, NOTES",FORGERY/COUNTERFEITING
VANDALISM OR GRAFFITI ON OR WITHIN 100 FT OF HIGHWAY,VANDALISM
POSSESSION OF OPIUM FOR SALES,DRUG/NARCOTIC
THREATENING PHONE CALL(S),ASSAULT
WARRANT ARREST,WARRANTS
"VEHICLE, RECOVERED, CAMPER-HOUSE CAR-MOTOR HOME",VEHICLE THEFT
"SHOPLIFTING, FORCE AGAINST AGENT",ROBBERY
ATTEMPTED ROBBERY CHAIN STORE WITH A KNIFE,ROBBERY
"HAZARDOUS MATERIALS, TRANSPORT WITHOUT PERMIT",OTHER OFFENSES
"ANIMAL, FIGHTING",OTHER OFFENSES
"EVADING A POLICE OFFICER, INJURY OR DEATH",OTHER OFFENSES
POSSESSION OF BASE/ROCK COCAINE FOR SALE,DRUG/NARCOTIC
GRAND THEFT PURSESNATCH,LARCENY/THEFT
PETTY THEFT FROM UNLOCKED AUTO,LARCENY/THEFT
"CHECKS, NON-SUFFICIENT FUNDS (FELONY)",BAD CHECKS
"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",BURGLARY
SUSPICIOUS ACT TOWARDS CHILD,SUSPICIOUS OCC
POSSESSION OF METH-AMPHETAMINE FOR SALE,DRUG/NARCOTIC
"HAZARDOUS MATERIALS, DUMPING IN UNAUTHORIZED LOCATN",OTHER OFFENSES
CHILD ABUSE (PHYSICAL),ASSAULT
ENCOURAGE MINOR TO USE BARBITUATES,DRUG/NARCOTIC
ATTEMPTED THEFT COIN OPERATED MACHINE,LARCENY/THEFT
"DRIVING WHILE UNDER THE INFLUENCE OF DRUGS, W/INJURY",DRIVING UNDER THE INFLUENCE
LYNCHING BY RIOT,OTHER OFFENSES
"BURGLARY OF STORE, UNLAWFUL ENTRY",BURGLARY
POSSESSION OF AIR GUN,WEAPON LAWS
"BURGLARY OF FLAT, ATTEMPTED FORCIBLE ENTRY",BURGLARY
"BURGLARY OF HOTEL ROOM, FORCIBLE ENTRY",BURGLARY
FALSE EVIDENCE OF VEHICLE REGISTRATION,OTHER OFFENSES
MINOR PURCHASING OR RECEIVING TOBACCO PRODUCT,OTHER OFFENSES
"SEXUAL CONTACT WITH PATIENT, FORMER PATIENT","SEX OFFENSES, NON FORCIBLE"
AGGRAVATED ASSAULT WITH BODILY FORCE,ASSAULT
EMBEZZLED VEHICLE,NON-CRIMINAL
PETTY THEFT SHOPLIFTING,LARCENY/THEFT
"BURGLARY,BLDG. UNDER CONSTRUCTION, UNLAWFUL ENTRY",BURGLARY
UNDER THE INFLUENCE OF CONTROLLED SUBSTANCES,DRUG/NARCOTIC
ROBBERY OF A COMMERCIAL ESTABLISHMENT WITH A GUN,ROBBERY
VANDALISM WITH NOXIOUS CHEMICAL,VANDALISM
"VEHICLE ALARM CODE GRABBING DEVICE, POSSESS OR USE",OTHER OFFENSES
SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION
"CREDIT CARD, THEFT OF",FRAUD
PUBLIC TRANSIT CRIMES - INFRACTIONS,OTHER OFFENSES
MAYHEM WITH A DEADLY WEAPON,ASSAULT
EVADING A POLICE VEHICLE OR BICYCLE,OTHER OFFENSES
POSSESSION OF OPIUM DERIVATIVE FOR SALES,DRUG/NARCOTIC
"ROBBERY, VEHICLE FOR HIRE, ATT., W/ FORCE",ROBBERY
POSS OF LOADED FIREARM,WEAPON LAWS
"BURGLARY, ATTEMPTED FORCIBLE ENTRY",BURGLARY
SAFE BURGLARY OF A WAREHOUSE,BURGLARY
"CABLE TV CONNECTION OR DECODING DEVICE, UNAUTHORIZED",FRAUD
SAFE BURGLARY OF A FLAT,BURGLARY
"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",BURGLARY
CONSUMING ALCOHOL IN PUBLIC VIEW,LIQUOR LAWS
MISSING JUVENILE,MISSING PERSON
MAYHEM WITH BODILY FORCE,ASSAULT
CARJACKING WITH BODILY FORCE,ROBBERY
"FORCIBLE RAPE, BODILY FORCE","SEX OFFENSES, FORCIBLE"
"MALICIOUS MISCHIEF, BREAKING WINDOWS WITH BB GUN",VANDALISM
SEARCH WARRANT SERVICE,NON-CRIMINAL
ATTEMPTED ROBBERY ON THE STREET WITH A KNIFE,ROBBERY
KIDNAPPING DURING ROBBERY,KIDNAPPING
"FIREWORKS, THROW AT PERSON OR DISCHARGE IN CROWD",OTHER OFFENSES
"ANIMAL, WITHOUT PROPER CARE OR ATTENTION",OTHER OFFENSES
OVERCHARGING TAXI FARE,OTHER OFFENSES
FRAUDULENT CREDIT APPLICATION,FRAUD
FAILURE TO REGISTER AS NARCOTICS ADDICT,OTHER OFFENSES
ATTEMPTED GRAND THEFT FROM PERSON,LARCENY/THEFT
"EMBEZZLEMENT, GRAND THEFT BY PROPERTY CARRIER",LARCENY/THEFT
ENCOURAGING MINOR TO USE COCAINE,DRUG/NARCOTIC
"TRICK AND DEVICE, GRAND THEFT",FRAUD
OBSCENE PHONE CALLS(S),OTHER OFFENSES
CHILD ABUSE SEXUAL,"SEX OFFENSES, FORCIBLE"
PANDERING,OTHER OFFENSES
"TRICK AND DEVICE, PETTY THEFT",FRAUD
SUSPICIOUS PACKAGE,SUSPICIOUS OCC
"BURGLARY,RESIDENCE UNDER CONSTRT, UNLAWFUL ENTRY",BURGLARY
"VIN, ALTER OR REMOVE",OTHER OFFENSES
"DRUG LAB APPARATUS, POSSESSION",VANDALISM
"MALICIOUS MISCHIEF, TIRE SLASHING",VANDALISM
"THEFT, BOAT",LARCENY/THEFT
TRESPASSING ON RAILROAD TRAINS,TRESPASS
SAFE BURGLARY OF A WAREHOUSE WITH EXPLOSIVES,BURGLARY
"LOST PROPERTY, GRAND THEFT",NON-CRIMINAL
"SUSPICIOUS OCCURRENCE, POSSIBLE SHOTS FIRED",SUSPICIOUS OCC
TRANSPORTATION OF HEROIN,DRUG/NARCOTIC
"SCHOOL, PUBLIC, TRESPASS",OTHER OFFENSES
FALSE IMPRISONMENT,OTHER OFFENSES
ROBBERY ON THE STREET WITH A DANGEROUS WEAPON,ROBBERY
ROBBERY OF A BANK WITH A DANGEROUS WEAPON,ROBBERY
ATTEMPTED GRAND THEFT PICKPOCKET,LARCENY/THEFT
"FORGERY, CREDIT CARD",FRAUD
"AIDED CASE, SICK PERSON",NON-CRIMINAL
"ROBBERY, BODILY FORCE",ROBBERY
ROBBERY OF A COMMERCIAL ESTABLISHMENT W/ A KNIFE,ROBBERY
FALSIFYING JUDICIAL & PUBLIC RECORDS & DOCUMENTS,FORGERY/COUNTERFEITING
UNUSUAL OCCURENCE,SUSPICIOUS OCC
ATTEMPTED SHOPLIFTING,LARCENY/THEFT
"KIDNAPPING, JUVENILE VICTIM",KIDNAPPING
FAILURE TO HEED RED LIGHT AND SIREN,OTHER OFFENSES
VIOLATION OF CIVIL GANG INJUNCTION,OTHER OFFENSES
"DISTURBING THE PEACE, FIGHTING",DISORDERLY CONDUCT
SUSPICIOUS ACT TOWARDS FEMALE,SUSPICIOUS OCC
MISCELLANEOUS STATE FELONY,OTHER OFFENSES
AUTO IMPOUNDED,NON-CRIMINAL
HEATING VIOLATION  APT/HOTEL,OTHER OFFENSES
PUTTING SLUGS IN PARKING METERS,FRAUD
"EMBEZZLEMENT, PETTY THEFT BY COLLECTOR",EMBEZZLEMENT
"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",BURGLARY
UNDER INFLUENCE OF DRUGS IN A PUBLIC PLACE,DRUNKENNESS
ATTEMPTED ROBBERY COMM. ESTAB. WITH BODILY FORCE,ROBBERY
"CONCEAL CRIME OR WITHHOLD EVIDENCE, ACCEPTING PAYMENT TO",BRIBERY
"FORGERY, FALSE ENTRIES IN RECORDS OR RETURNS",FORGERY/COUNTERFEITING
"BURGLARY OF FLAT, FORCIBLE ENTRY",BURGLARY
THROWING INJURIOUS SUBSTANCE ON HIGHWAY,OTHER OFFENSES
